GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
arrays,by.jrr.ruslan.arrays,App,4,0,0,0,2,0,2,0,2,0
arrays,by.jrr.ruslan.arrays.service,LookUpArrayService,135,0,30,0,36,0,21,0,6,0
